Date,Time,Theater,Film,Runtime,isAlmostSoldOut,posterDynamic,first_seen_date,last_updated,source
04/23/2026,7:30PM,The Beacon,Scream For Help,89,None,None
05/31/2026,2:00PM,The Beacon,The Man Who Shot Liberty Valance,123,None,None
06/01/2026,4:30PM,The Beacon,The Man Who Shot Liberty Valance,123,None,None
05/07/2026,7:30PM,The Beacon,"Throw Away Your Books, Rally In The Streets",137,None,None
05/08/2026,4:00PM,The Beacon,"Throw Away Your Books, Rally In The Streets",137,None,None
04/26/2026,2:00PM,The Beacon,Wait Until Dark,108,None,None
04/27/2026,4:30PM,The Beacon,Wait Until Dark,108,None,None
04/30/2026,7:30PM,The Beacon,Dog Day Afternoon,125,None,None
05/01/2026,7:00PM,The Beacon,$Positions,97,None,None
05/02/2026,10:00PM,The Beacon,$Positions,97,None,None
05/05/2026,4:30PM,The Beacon,$Positions,97,None,None
05/24/2026,5:00PM,The Beacon,Rosa De Areia,87,None,None
05/27/2026,4:30PM,The Beacon,Rosa De Areia,87,None,None
04/13/2026,7:30PM,The Beacon,Wild Style,82,None,None
05/15/2026,10:00PM,The Beacon,Vhs Über Alles Presents,90,None,None
05/22/2026,10:00PM,The Beacon,Secs Fest Presents Vixen!,70,None,None
05/20/2026,7:30PM,The Beacon,Battle Royale,113,None,None
05/21/2026,7:30PM,The Beacon,Battle Royale,113,None,None
05/22/2026,4:00PM,The Beacon,Battle Royale,113,None,None
05/24/2026,2:00PM,The Beacon,Wagon Master,86,None,None
05/25/2026,4:30PM,The Beacon,Wagon Master,86,None,None
04/24/2026,5:00PM,The Beacon,Earth'S Greatest Enemy,120,None,None
05/17/2026,2:00PM,The Beacon,The Grapes Of Wrath,129,None,None
05/18/2026,4:30PM,The Beacon,The Grapes Of Wrath,129,None,None
05/01/2026,10:00PM,The Beacon,Bones,96,None,None
05/05/2026,7:30PM,The Beacon,Bones,96,None,None
05/09/2026,7:00PM,The Beacon,God Speed You! Black Emperor,90,None,None
05/08/2026,7:00PM,The Beacon,The Seduction Of Mimi,121,None,None
05/12/2026,4:30PM,The Beacon,The Seduction Of Mimi,121,None,None
05/14/2026,7:30PM,The Beacon,The Seduction Of Mimi,121,None,None
05/11/2026,7:30PM,The Beacon,Mid/Evil Times,61,None,None
05/14/2026,4:30PM,The Beacon,Mid/Evil Times,61,None,None
04/24/2026,8:30PM,The Beacon,Cece'S Interlude,101,None,None
04/25/2026,10:00PM,The Beacon,Cece'S Interlude,101,None,None
04/28/2026,4:30PM,The Beacon,Cece'S Interlude,101,None,None
04/13/2026,4:30PM,The Beacon,Palestine 36,120,None,None
04/15/2026,7:30PM,The Beacon,Palestine 36,120,None,None
04/16/2026,4:30PM,The Beacon,Palestine 36,120,None,None
05/03/2026,2:00PM,The Beacon,My Darling Clementine,97,None,None
05/04/2026,4:30PM,The Beacon,My Darling Clementine,97,None,None
05/06/2026,7:30PM,The Beacon,The Razor'S Edge,103,None,None
05/07/2026,4:30PM,The Beacon,The Razor'S Edge,103,None,None
05/23/2026,10:00PM,The Beacon,The Peacock King,86,None,None
05/17/2026,5:00PM,The Beacon,Ana,115,None,None
05/20/2026,4:30PM,The Beacon,Ana,115,None,None
05/30/2026,10:00PM,The Beacon,"Watari, The Ninja Boy",86,None,None
04/27/2026,7:30PM,The Beacon,Sing A Song Of Sex,103,None,None
04/29/2026,4:30PM,The Beacon,Sing A Song Of Sex,103,None,None
05/10/2026,5:00PM,The Beacon,Trás-Os-Montes,111,None,None
05/13/2026,4:30PM,The Beacon,Trás-Os-Montes,111,None,None
05/02/2026,7:00PM,The Beacon,Wto/99,102,None,None
04/20/2026,7:30PM,The Beacon,Crazed Fruit,86,None,None
04/22/2026,4:30PM,The Beacon,Crazed Fruit,86,None,None
04/23/2026,4:30PM,The Beacon,Crazed Fruit,86,None,None
05/29/2026,10:00PM,The Beacon,Black Mamba,102,None,None
04/19/2026,5:00PM,The Beacon,The Dreamers,115,None,None
04/21/2026,4:30PM,The Beacon,The Dreamers,115,None,None
04/22/2026,7:30PM,The Beacon,The Dreamers,115,None,None
04/16/2026,7:30PM,The Beacon,The Apple,92,None,None
05/03/2026,5:00PM,The Beacon,The Warped Ones,76,None,None
05/06/2026,4:30PM,The Beacon,The Warped Ones,76,None,None
05/13/2026,7:30PM,The Beacon,Burst City,115,None,None
05/15/2026,4:00PM,The Beacon,Burst City,115,None,None
04/14/2026,4:30PM,The Beacon,"Lumière, Le Cinema!",106,None,None
04/15/2026,4:30PM,The Beacon,"Lumière, Le Cinema!",106,None,None
04/18/2026,10:00PM,The Beacon,Secs Fest Presents Behind The Green Door,72,None,None
05/10/2026,2:00PM,The Beacon,How Green Was My Valley,118,None,None
05/11/2026,4:30PM,The Beacon,How Green Was My Valley,118,None,None
04/17/2026,10:00PM,The Beacon,Vhs Über Alles Presents...,96,None,None
05/08/2026,10:00PM,The Beacon,Dr. Caligari,80,None,None
05/09/2026,10:00PM,The Beacon,Dr. Caligari,80,None,None
05/18/2026,7:30PM,The Beacon,“Blow The Night!” Let’S Spend The Night Together,109,None,None
04/26/2026,5:00PM,The Beacon,"Jeanne Dielman, 23, Quai Du Commerce, 1080 Bruxelles",202 MINUTES,None,None
04/29/2026,7:30PM,The Beacon,The Beirut Trilogy,118,None,None
04/30/2026,4:30PM,The Beacon,The Beirut Trilogy,118,None,None
04/18/2026,10:00AM,The Beacon,Rent The Beacon,150 min.,None,None
04/26/2026,9:00PM,The Beacon,Rent The Beacon,150 min.,None,None
05/01/2026,4:00PM,The Beacon,Rent The Beacon,150 min.,None,None
05/09/2026,10:00AM,The Beacon,Rent The Beacon,150 min.,None,None
05/10/2026,11:00AM,The Beacon,Rent The Beacon,150 min.,None,None
05/23/2026,9:15AM,The Beacon,Rent The Beacon,150 min.,None,None
05/24/2026,11:00AM,The Beacon,Rent The Beacon,150 min.,None,None
05/24/2026,8:00PM,The Beacon,Rent The Beacon,150 min.,None,None
05/30/2026,10:00AM,The Beacon,Rent The Beacon,150 min.,None,None
05/31/2026,11:00AM,The Beacon,Rent The Beacon,150 min.,None,None
05/31/2026,8:00PM,The Beacon,Rent The Beacon,150 min.,None,None
05/19/2026,7:30PM,The Beacon,Five Minutes To Live!,120ish,None,None
04/19/2026,2:00PM,The Beacon,The Children'S Hour,107,None,None
04/20/2026,4:30PM,The Beacon,The Children'S Hour,107,None,None
04/22/2026,4:45 PM,SIFF Cinema Downtown,Ani-Marathon: Redline,100,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/Ani-Marathon/CIN_Redline_1600x900.png,,,
04/28/2026,7:45 PM,SIFF Cinema Downtown,Ani-Marathon: Redline,100,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/Ani-Marathon/CIN_Redline_1600x900.png,,,
04/18/2026,9:15 PM,SIFF Cinema Downtown,Ani-Marathon: Angel’s Egg (4K Restoration),73,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_AngelsEgg_1600x900.jpg,,,
04/21/2026,5:00 PM,SIFF Cinema Downtown,Ani-Marathon: Angel’s Egg (4K Restoration),73,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_AngelsEgg_1600x900.jpg,,,
06/01/2026,6:30 PM,SIFF Cinema Uptown,SIFF Movie Club: Velvet Goldmine,118,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_VelvetGoldmine_1600x900.jpg,,,
04/19/2026,1:30 PM,SIFF Cinema Downtown,Ani-Marathon: A Silent Voice,130,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/Ani-Marathon/CIN_ASilentVoice_1600x900.png,,,
04/20/2026,7:30 PM,SIFF Cinema Downtown,Ani-Marathon: A Silent Voice,130,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/Ani-Marathon/CIN_ASilentVoice_1600x900.png,,,
04/18/2026,3:30 PM,SIFF Film Center,1st Seattle Taiwanese Eco Film Festival: Pongso no Tao~Island of People,79,None,https://www.siff.net/images/CINEMA/2026/Rentals/REN_STEFFIslandofPeople_1600x900.png,,,
04/22/2026,7:30 PM,SIFF Cinema Uptown,Scorsese: Silence,161,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/Scorsese/CIN_Silence_1600x900.jpg,,,
04/26/2026,11:00 AM,SIFF Cinema Downtown,Community Screening: Meet Me in St. Louis,113,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/Community%20Screenings/CIN_MeetMeinStLouis_1600x900.png,,,
04/18/2026,1:00 PM,SIFF Film Center,1st Seattle Taiwanese Eco Film Festival: Birds and Us,81,None,https://www.siff.net/images/CINEMA/2026/Rentals/REN_STEFF_1600x900.png,,,
07/06/2026,6:30 PM,SIFF Cinema Uptown,SIFF Movie Club: Fried Green Tomatoes,130,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_FriedGreenTomatoes_1600x900.jpg,,,
04/22/2026,7:30 PM,SIFF Cinema Downtown,Ani-Marathon: Cowboy Bebop: The Movie,115,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/Ani-Marathon/CIN_CowboyBebop_1600x900.png,,,
04/29/2026,4:45 PM,SIFF Cinema Downtown,Ani-Marathon: Cowboy Bebop: The Movie,115,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/Ani-Marathon/CIN_CowboyBebop_1600x900.png,,,
04/17/2026,6:30 PM,SIFF Cinema Downtown,Ani-Marathon: Paprika,90,None,https://www.siff.net/images/EDUCATION/2024/Film%20Talks/EDU_FilmTalk-Paprika_1600x900.jpg,,,
04/23/2026,5:00 PM,SIFF Cinema Downtown,Ani-Marathon: Paprika,90,None,https://www.siff.net/images/EDUCATION/2024/Film%20Talks/EDU_FilmTalk-Paprika_1600x900.jpg,,,
04/18/2026,3:30 PM,SIFF Cinema Downtown,Ani-Marathon: Summer Wars,114,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/Ani-Marathon/CIN_SummerWars_1600x900.png,,,
04/24/2026,6:00 PM,SIFF Cinema Downtown,Ani-Marathon: Summer Wars,114,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/Ani-Marathon/CIN_SummerWars_1600x900.png,,,
04/25/2026,12:30 PM,SIFF Cinema Downtown,Ani-Marathon: Summer Wars,114,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/Ani-Marathon/CIN_SummerWars_1600x900.png,,,
04/17/2026,9:15 PM,SIFF Cinema Downtown,Ani-Marathon: Perfect Blue,81,None,https://www.siff.net/images/EDUCATION/2024/Film%20Talks/EDU_FilmTalk-PerfectBlue_1600x900.jpg,,,
04/28/2026,5:15 PM,SIFF Cinema Downtown,Ani-Marathon: Perfect Blue,81,None,https://www.siff.net/images/EDUCATION/2024/Film%20Talks/EDU_FilmTalk-PerfectBlue_1600x900.jpg,,,
04/13/2026,4:30 PM,SIFF Cinema Uptown,DJ Ahmet,97,None,https://www.siff.net/images/FESTIVAL/2025/Films/Film%20Detail%20Hero%20Sizes%20-%20Features/DJAhmet.jpg,,,
04/13/2026,7:15 PM,SIFF Cinema Uptown,DJ Ahmet,97,None,https://www.siff.net/images/FESTIVAL/2025/Films/Film%20Detail%20Hero%20Sizes%20-%20Features/DJAhmet.jpg,,,
04/14/2026,5:00 PM,SIFF Cinema Uptown,DJ Ahmet,97,None,https://www.siff.net/images/FESTIVAL/2025/Films/Film%20Detail%20Hero%20Sizes%20-%20Features/DJAhmet.jpg,,,
04/15/2026,5:00 PM,SIFF Cinema Uptown,DJ Ahmet,97,None,https://www.siff.net/images/FESTIVAL/2025/Films/Film%20Detail%20Hero%20Sizes%20-%20Features/DJAhmet.jpg,,,
04/15/2026,7:45 PM,SIFF Cinema Uptown,DJ Ahmet,97,None,https://www.siff.net/images/FESTIVAL/2025/Films/Film%20Detail%20Hero%20Sizes%20-%20Features/DJAhmet.jpg,,,
04/16/2026,4:30 PM,SIFF Cinema Uptown,DJ Ahmet,97,None,https://www.siff.net/images/FESTIVAL/2025/Films/Film%20Detail%20Hero%20Sizes%20-%20Features/DJAhmet.jpg,,,
04/16/2026,7:15 PM,SIFF Cinema Uptown,DJ Ahmet,97,None,https://www.siff.net/images/FESTIVAL/2025/Films/Film%20Detail%20Hero%20Sizes%20-%20Features/DJAhmet.jpg,,,
